Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
С сим воплем толпы 	ринулись	 	в Кремль.	Н. М. Карамзин. История государства Российского: Том 11 (1823)	Н. М. Карамзин	1766	История государства Российского: Том 11	1823	учебно-научная | публицистика	монография	история | наука и технологии			книга	омонимия не снята	С сим воплем толпы ринулись в Кремль.
двери в опочивальне и все туда 	ринулись	.		В. Т. Нарежный. Гаркуша, малороссийский разбойник (1825)	В. Т. Нарежный	1780	Гаркуша, малороссийский разбойник	1825	художественная	роман		В. Т. Нарежный. Избранное	1983	книга	омонимия не снята	Гости, потеряв терпение дожидаться окончания побранки между молодыми, выломали двери в опочивальне и все туда ринулись.
до сих пор; теперь же все 	ринулись	 	на двор ткача продолжать пир и	В. Т. Нарежный. Гаркуша, малороссийский разбойник (1825)	В. Т. Нарежный	1780	Гаркуша, малороссийский разбойник	1825	художественная	роман		В. Т. Нарежный. Избранное	1983	книга	омонимия не снята	Молодых снова уложили, а сами принялись за веселье, которое и продолжалось до сих пор; теперь же все ринулись на двор ткача продолжать пир и получить подарки; а я бросился к тебе объявить по дружбе все виданное и слышанное.
пошел им на ум, и они 	ринулись	 	на кули свои.	В. Т. Нарежный. Гаркуша, малороссийский разбойник (1825)	В. Т. Нарежный	1780	Гаркуша, малороссийский разбойник	1825	художественная	роман		В. Т. Нарежный. Избранное	1983	книга	омонимия не снята	Ужин не пошел им на ум, и они ринулись на кули свои.
городовъ, шумъ скрипящаго снастями флота, готоваго 	ринуться	 	въ безпредѣльныя моря.	Ф. Н. Глинка. Чудесная сопутница (1827)	Ф. Н. Глинка	1786	Чудесная сопутница	1827	публицистика	эссе	психология | философия	«Сѣверные Цвѣты» на 1827 годъ, собранные Барономъ Дельвигомъ.	1826	альманах	омонимия не снята	То выводила шумъ битвъ и великихъ сраженій, то шумъ созидающихся городовъ, шумъ скрипящаго снастями флота, готоваго ринуться въ безпредѣльныя моря.
Молодой боярин Бориса 	ринулся	 	в самую середину скопища с мечом	Н. А. Полевой. Повесть о Симеоне суздальском князе (1828)	Н. А. Полевой	1796	Повесть о Симеоне суздальском князе	1828	художественная	повесть		Полевой Н. А. Избранная историческая проза	1990	книга	омонимия не снята	Молодой боярин Бориса ринулся в самую середину скопища с мечом в руках, Некомат успел вырваться и броситься к нему.
России, несколько лет прошло, пока Батый 	ринулся	 	в пределы русские и потек огненною	Н. А. Полевой. Повесть о Симеоне суздальском князе (1828)	Н. А. Полевой	1796	Повесть о Симеоне суздальском князе	1828	художественная	повесть		Полевой Н. А. Избранная историческая проза	1990	книга	омонимия не снята	Но так и за полтора столетия, когда при Калке погибла надежда на спасение России, несколько лет прошло, пока Батый ринулся в пределы русские и потек огненною рекою.
заехал с левой моей стороны и 	ринулся	 	на меня, чтоб одним ударом ятагана	Ф. В. Булгарин. Иван Иванович Выжигин (1829)	Ф. В. Булгарин	1789	Иван Иванович Выжигин	1829	художественная	роман		Фаддей Булгарин. Сочинения	1990	книга	омонимия не снята	Турецкий наездник, приметив, что я отдалился от своих, кинулся на меня опрометью, заехал с левой моей стороны и ринулся на меня, чтоб одним ударом ятагана отрубить мне голову.
И такъ – народъ съ шумомъ 	ринулся	 	вслѣдъ за нами; каждый хотѣлъ говоришь	В. Г. Тепляков. Письма из Болгарии (1829)	В. Г. Тепляков	1804	Письма из Болгарии	1829	публицистика	цикл | письмо	путешествия	В. Тепляков. Письма из Болгарии	1833	книга	омонимия не снята	И такъ – народъ съ шумомъ ринулся вслѣдъ за нами; каждый хотѣлъ говоришь, каждый кричалъ, толпился, безъ церемоніи набивалъ и раскуривалъ свою трубку.
вскричал он, и шлюпка 	ринулась	 	с берега, как испуганный лебедь.	А. А. Бестужев-Марлинский. Лейтенант Белозор (1830)	А. А. Бестужев-Марлинский	1797	Лейтенант Белозор	1830	художественная	повесть		Русские повести XIX века 20-х — 30-х годов. Том 1	1950	книга	омонимия не снята	вскричал он, и шлюпка ринулась с берега, как испуганный лебедь.
весь эскадрон латников, подобно бурному потоку, 	ринулся	 	на небольшую толпу бесстрашных русских воинов.	М. Н. Загоскин. Рославлев, или Русские в 1812 году (1830)	М. Н. Загоскин	1789	Рославлев, или Русские в 1812 году	1830	художественная	роман		М. Н. Загоскин. Рославлев, или русские в 1812 году	1980	книга	омонимия не снята	Не доехав шагов полутораста до каре, она остановилась, раздалась громкая команда французских офицеров, и весь эскадрон латников, подобно бурному потоку, ринулся на небольшую толпу бесстрашных русских воинов.
большие части с громом и треском 	ринулись	 	в воду, произвел брызги, поднимавшиеся до	Ф. Ф. Беллинсгаузен. Двукратные изыскания в Южном Ледовитом океане и плавание вокруг света в продолжение 1819, 20 и 21 годов, совершенные на шлюпах «Востоке» и «Мирном» под начальством капитана Беллинсгаузена командира шлюпа «Восток», шлюпом «Мирным» начальствовал лейтен (1831)	Ф. Ф. Беллинсгаузен	1778	Двукратные изыскания в Южном Ледовитом океане и плавание вокруг света в продолжение 1819, 20 и 21 годов, совершенные на шлюпах «Востоке» и «Мирном» под начальством капитана Беллинсгаузена командира шлюпа «Восток», шлюпом «Мирным» начальствовал лейтен	1831	учебно-научная	монография | отчет	путешествия	Ф. Ф. Беллинсгаузен. Двукратные изыскания в Южном Ледовитом океане и плавание вокруг света…	1949	книга	омонимия не снята	Силою выстрелов не только что отломили несколько кусков льда, но потрясли в основании огромную сию льдину, так что большие части с громом и треском ринулись в воду, произвел брызги, поднимавшиеся до трети высоты острова, произвели на несколько времени не малую зыбь.
взревел и в два прыжка прямо 	ринулся	 	на меня, так, что я не	А. А. Бестужев-Марлинский. Аммалат-бек (1831)	А. А. Бестужев-Марлинский	1797	Аммалат-бек	1831	художественная	повесть		А. А. Бестужев-Марлинский. Кавказские повести	1995	книга	омонимия не снята	Пробужден громом и болью, тигр взревел и в два прыжка прямо ринулся на меня, так, что я не успел выхватить и кинжала, – с размаху он сбил меня с ног, смял задними ногами – и только помню я, что в миг этого промежутка раздался крик и выстрел Аммалата и затем оглушающее, ужасное рыкание.
творите молитву; С кинжалами 	ринемся	 	в битву! 	А. А. Бестужев-Марлинский. Аммалат-бек (1831)	А. А. Бестужев-Марлинский	1797	Аммалат-бек	1831	художественная	повесть		А. А. Бестужев-Марлинский. Кавказские повести	1995	книга	омонимия не снята	творите молитву; С кинжалами ринемся в битву! 
ущелие и, видя погоню, как стрела 	ринулся	 	в горы.	А. А. Бестужев-Марлинский. Аммалат-бек (1831)	А. А. Бестужев-Марлинский	1797	Аммалат-бек	1831	художественная	повесть		А. А. Бестужев-Марлинский. Кавказские повести	1995	книга	омонимия не снята	Пронзенный до глубины души нежданным укором от человека, с которым связан был дружеством от младенчества, Аммалат не вымолвил слова, указал своим изумленным нукерам на ущелие и, видя погоню, как стрела ринулся в горы.
двери распахнулись внезапно, и маленький гарнизон 	ринулся	 	по дороге вниз к водяной башне	А. А. Бестужев-Марлинский. Письма из Дагестана (1831)	А. А. Бестужев-Марлинский	1797	Письма из Дагестана	1831	художественная	повесть | письмо литературное		А. А. Бестужев-Марлинский. Кавказские повести	1995	книга	омонимия не снята	Зверские крики радости огласились в толпах осаждающих, – но железные двери распахнулись внезапно, и маленький гарнизон ринулся по дороге вниз к водяной башне, где другая кучка храбрых отсиделась от беспрестанных нападений, хотя и потеряла своего офицера.
всадники, линейские казаки из конвоя командующего 	ринулись	 	с крутизны на конях в реку	А. А. Бестужев-Марлинский. Письма из Дагестана (1831)	А. А. Бестужев-Марлинский	1797	Письма из Дагестана	1831	художественная	повесть | письмо литературное		А. А. Бестужев-Марлинский. Кавказские повести	1995	книга	омонимия не снята	Мусульманские всадники, линейские казаки из конвоя командующего ринулись с крутизны на конях в реку, да и кто под глазами его не пошел бы в огонь и в воду! 
мною объятия любовницы, в которые я 	ринулся	 	с трепетом первых восторгов юноши.	А. Н. Вульф. Дневник (1831)	А. Н. Вульф	1805	Дневник	1831	бытовая	дневник, записные книжки		А. Н. Вульф. Дневник 1827-1842	1999	книга	омонимия не снята	После вечера, а так же проведенного, как последний, ночь увенчала мои страстные желанья, развернув вполне передо мною объятия любовницы, в которые я ринулся с трепетом первых восторгов юноши.
слышал только, как что-то с шумом 	ринулось	 	на него.	Н. В. Гоголь. Сорочинская ярмарка (1831-1832)	Н. В. Гоголь	1809	Сорочинская ярмарка	1831-1832	художественная	повесть | цикл		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	кричало вслед за ним, и он слышал только, как что-то с шумом ринулось на него.
военными кликами, вылетели из лесу и 	ринулись	 	в Вислу.	А. К. Денисов. Записки донского атамана Денисова (1832) // «Русская Старина» 1874, N 5, 11 и 12, 1875, N 1, 2 и 3., 1874	А. К. Денисов	1763	Записки донского атамана Денисова	1832	публицистика	мемуары		«Русская Старина» 1874, N 5, 11 и 12, 1875, N 1, 2 и 3.	1874	журнал	омонимия не снята	Казаки сняли с себя мундиры, седла с лошадей и с одними дротиками в руках, с военными кликами, вылетели из лесу и ринулись в Вислу.
фронта и стоящего в задумчивости, стремительно 	ринулся	 	на него один и, подскакав, схватил	А. К. Денисов. Записки донского атамана Денисова (1832) // «Русская Старина» 1874, N 5, 11 и 12, 1875, N 1, 2 и 3., 1874	А. К. Денисов	1763	Записки донского атамана Денисова	1832	публицистика	мемуары		«Русская Старина» 1874, N 5, 11 и 12, 1875, N 1, 2 и 3.	1874	журнал	омонимия не снята	И приметив одного французского всадника, несколько отдалившегося от своего фронта и стоящего в задумчивости, стремительно ринулся на него один и, подскакав, схватил за повода лошадь того всадника и требовал пардону, а тот, конечно, испужавшись нечаянному налету, молча поехал за Ефремовым.
Длинноногий 	ринулся	 	вниз, словно камень.	К. П. Масальский. Стрельцы (1832)	К. П. Масальский	1802	Стрельцы	1832	художественная	роман		Масальский К. Стрельцы. Исторический роман.	1996	книга	омонимия не снята	Длинноногий ринулся вниз, словно камень.
сохранивший от предка своего только силу, 	ринулся	 	с охотниками и схватился с зятем	Н. А. Полевой. Клятва при гробе Господнем (1832)	Н. А. Полевой	1796	Клятва при гробе Господнем	1832	художественная	повесть		Полевой Н. А. Избранная историческая проза	1990	книга	омонимия не снята	Воевода Семен Волынец, потомок славного Волынца, сподвижника Донского на Куликовом поле, сохранивший от предка своего только силу, ринулся с охотниками и схватился с зятем ханским.
каждая подобилась плавучей корзине с цветами, 	ринулась	 	в море и впереди всех орлом	А. А. Бестужев-Марлинский. Фрегат «Надежда» (1833)	А. А. Бестужев-Марлинский	1797	Фрегат «Надежда»	1833	художественная	повесть		А. А. Бестужев-Марлинский. Кавказские повести	1995	книга	омонимия не снята	Но когда весла грянули, когда длинная вереница шлюпок, из которых каждая подобилась плавучей корзине с цветами, ринулась в море и впереди всех орлом полетел двадцативесельный катер, несущий в себе славу и надежду России; когда берега стали бегом уходить от нас, а далекий Кронштадт с дремучим лесом мачт поплыл к нам навстречу, – тогда безграничное море развилось за ним, синея и сверкая... страх мой перелился в тихое, новое для меня наслаждение, и мне стало так хорошо в ладье, будто в колыбели когда-то.
он, с каждым мигом ускоряя бег, 	ринулся	 	наконец прямо, пожирая пространство.	А. А. Бестужев-Марлинский. Фрегат «Надежда» (1833)	А. А. Бестужев-Марлинский	1797	Фрегат «Надежда»	1833	художественная	повесть		А. А. Бестужев-Марлинский. Кавказские повести	1995	книга	омонимия не снята	По звуку серебряных свистков, казалось, великан наш размахнул широко руками, чтобы поймать ветер; грудь его надулась, и он, с каждым мигом ускоряя бег, ринулся наконец прямо, пожирая пространство.
бы подвигнутый какою-то чуждою, непреодолимою волею, 	ринулся	 	вихрем вслед за уходящим Алексеем.	М. Н. Загоскин. Аскольдова могила (1833)	М. Н. Загоскин	1789	Аскольдова могила	1833	художественная	роман				книга	омонимия не снята	С полминуты еще продолжал он бороться с самим собою и вдруг, заскрежетав зубами, как пробужденный от тяжкого сна, как будто бы подвигнутый какою-то чуждою, непреодолимою волею, ринулся вихрем вслед за уходящим Алексеем.
поляну, повернул в сторону и вдруг 	ринулся	 	оземь вместе с конем своим; вслед	М. Н. Загоскин. Аскольдова могила (1833)	М. Н. Загоскин	1789	Аскольдова могила	1833	художественная	роман				книга	омонимия не снята	Он видел, что Владимир, почти не отставая от Налета, выскакал на большую поляну, повернул в сторону и вдруг ринулся оземь вместе с конем своим; вслед за этим раздался ужасный рев; потом все замолкло.
– 	ринулся	 	на Мурзенкову команду, сшибся с нею	И. И. Лажечников. Последний Новик (1833)	И. И. Лажечников	1792	Последний Новик	1833	художественная	роман					омонимия не снята	ринулся на Мурзенкову команду, сшибся с нею и завязал бой вместо драки.
пойдемте, ребята»... и толпа с воем 	ринулась	 	к кибиткам; несчастный старик спал на	М. Ю. Лермонтов. Вадим (1833-1834)	М. Ю. Лермонтов	1814	Вадим	1833-1834	художественная	роман		Лермонтов М. Ю. Собрание сочинений: В 4 т	1981	книга	омонимия не снята	отомстим за наших братьев... пойдемте, ребята»... и толпа с воем ринулась к кибиткам; несчастный старик спал на груди своей дочери; он вскочил... высунулся... и всё понял!..
Ну вот, кажется, 	ринулись	 	мимо: хвосты пашут холодом, пена летит	А. А. Бестужев-Марлинский. Он был убит (1835-1836)	А. А. Бестужев-Марлинский	1797	Он был убит	1835-1836	художественная	очерк		А. А. Бестужев-Марлинский. Кавказские повести	1995	книга	омонимия не снята	Ну вот, кажется, ринулись мимо: хвосты пашут холодом, пена летит в лицо с их удил, шашки сверкают в трех шагах; но почему ж нигде ни выстрела, почему нет дикого крика азиатского натиска, нет барабана тревоги? 
молнией по всем головам, и толпа 	ринулась	 	на предместье с желанием перерезать всех	Н. В. Гоголь. Тарас Бульба (1835-1841)	Н. В. Гоголь	1809	Тарас Бульба	1835-1841	художественная	повесть | цикл		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	Слова эти, произнесенные кем-то из толпы, пролетели молнией по всем головам, и толпа ринулась на предместье с желанием перерезать всех жидов.
Объятый тяжкою, гробовою скорбью, я 	ринулся	 	на землю с лошади и ручьи	С. Н. Глинка. Из записок о 1812 годе (1836)	С. Н. Глинка	1775	Из записок о 1812 годе	1836	публицистика	мемуары	армия и вооруженные конфликты | частная жизнь	«Записки о 1812 годе» [соч.] Сергея Глинки, первого ратника Московского ополчения. – Санкт-Петербург : в типографии Императорской Российской академии, 1836. – IV, XIV, V, 362 с	1836	книга	омонимия не снята	Объятый тяжкою, гробовою скорбью, я ринулся на землю с лошади и ручьи горячих слез мешались с прахом и пылью.
ударился на него сизым беркутом; Кузя 	ринулся	 	клубом об берег, перекинулся пескарем и	В. И. Даль. Сказка о бедном Кузе Бесталанной Голове и о переметчике Будунтае (1836)	В. И. Даль	1801	Сказка о бедном Кузе Бесталанной Голове и о переметчике Будунтае	1836	художественная	сказка		В. И. Даль (Казак Луганский). Повести. Рассказы. Очерки. Сказки	1961	книга	омонимия не снята	Будунтай ударился на него сизым беркутом; Кузя ринулся клубом об берег, перекинулся пескарем и соскочил в воду.
и 	ринулась	 	соколом из окна; грянул сокол с	В. И. Даль. Сказка о бедном Кузе Бесталанной Голове и о переметчике Будунтае (1836)	В. И. Даль	1801	Сказка о бедном Кузе Бесталанной Голове и о переметчике Будунтае	1836	художественная	сказка		В. И. Даль (Казак Луганский). Повести. Рассказы. Очерки. Сказки	1961	книга	омонимия не снята	и ринулась соколом из окна; грянул сокол с налету – только шикнул крыльями по воздуху, – грянул клубом в черного петуха, подпорол ему заборным ногтем левый бок да черканул по левому крылу, помял и поломал все перья правильные; упал камнем петух замертво в крутоберегий поток, и понесло его волною вниз по реке, по зеленой воде.
Народ, сидевший в задних рядах, 	ринулся	 	спасаться к дверям: их было всего	А. В. Никитенко. Дневник (1836)	А. В. Никитенко	1804	Дневник	1836	бытовая | публицистика	дневник, записные книжки	политика и общественная жизнь | частная жизнь | искусство и культура	Никитенко А. В. Записки и дневник: В 3 т. Т. 1	2005	книга	омонимия не снята	Народ, сидевший в задних рядах, ринулся спасаться к дверям: их было всего две.
скатился по десяти гранитным ступеням и 	ринулся	 	в море.	А. Ф. Вельтман. Светославич, вражий питомец Диво времен Красного Солнца Владимира (1837)	А. Ф. Вельтман	1800	Светославич, вражий питомец Диво времен Красного Солнца Владимира	1837	художественная	роман		Вельтман А. Ф. Романы	1985	книга	омонимия не снята	Давно вытек Днепр из темных лесов Смоленских, из соседства Двины и Волги, пробился сквозь каменные ограды земли Половецкой, скатился по десяти гранитным ступеням и ринулся в море.
на край неба, черное облачко вдруг 	ринулось	, 	как падучая звезда или как орел	А. Ф. Вельтман. Светославич, вражий питомец Диво времен Красного Солнца Владимира (1837)	А. Ф. Вельтман	1800	Светославич, вражий питомец Диво времен Красного Солнца Владимира	1837	художественная	роман		Вельтман А. Ф. Романы	1985	книга	омонимия не снята	Закатясь на край неба, черное облачко вдруг ринулось, как падучая звезда или как орел, который, сложив крылья, падает стремглав с высоты свистящим камнем, и вдруг, над самой землею, распахнется, преобразится из черного шара в собственный образ, и плавно опускается на вершину скалы.
наклоненную голову свою, паром охваченную, как 	ринулся	 	весь наземь, соломою покрытою и, протянувшись	Д. В. Душенкевич. Из моих воспоминаний от 1812-го года до (1815-го года) (1838)	Д. В. Душенкевич	1797	Из моих воспоминаний от 1812-го года до (1815-го года)	1838	публицистика	мемуары		1812 год в воспоминаниях современников	1985	книга	омонимия не снята	Солдаты, желая угодить начальнику, живо раздели никогда не бывавшего в русской бане огромного италианца, отворили низенькую дверь и толкнули его ко мне; не успели запереть ее, а он, подняв наклоненную голову свою, паром охваченную, как ринулся весь наземь, соломою покрытою и, протянувшись, во всю баню ревел не по-человечески лежа ниц; пришед в себя, поднял несколько голову и, простирая руки ко мне, моющемуся, над ним смеясь, с приглашением наверх, умолял меня жалобно, с гримасами уморительными, не убивать ни себя, ни его.
готов, кажется, по первому призыву долга 	ринуться	 	в битву с неправдою и насилием.	И. И. Лажечников. Басурман (1838)	И. И. Лажечников	1792	Басурман	1838	художественная	роман		И. И. Лажечников. Ледяной дом	2006	книга	омонимия не снята	Будто молодой конь на зов военной трубы, он готов, кажется, по первому призыву долга ринуться в битву с неправдою и насилием.
И 	ринулся	 	Хабар из объятий ее, с одного	И. И. Лажечников. Басурман (1838)	И. И. Лажечников	1792	Басурман	1838	художественная	роман		И. И. Лажечников. Ледяной дом	2006	книга	омонимия не снята	И ринулся Хабар из объятий ее, с одного пира на другой.
Бедняжка снова 	ринулась	 	на хладный драгоценный ей труп.	И. Н. Скобелев. Рассказы русского инвалида (1838-1844)	И. Н. Скобелев	1778	Рассказы русского инвалида	1838-1844	художественная	рассказ | цикл		«1812 год в воспоминаниях, переписке и рассказах современников»	2001	книга	омонимия не снята	Бедняжка снова ринулась на хладный драгоценный ей труп.
